doi,apc,type,title
10.1016/j.biocon.2016.10.006,3400,hybrid,Biological Conservation
10.1038/s41598-017-09098-0,1790,hybrid,Scientific Reports
10.1103/PhysRevLett.119.030501,3300,hybrid,Physical Review Letters
10.1103/PhysRevLett.118.153602,3300,hybrid,Physical Review Letters
10.1038/ncomms15347,5200,hybrid,Nature Communications
10.1016/j.physletb.2017.01.054,0,gold,Physics Letters B
10.1038/s41522-016-0011-0,3170,hybrid,npj Biofilms and Microbiomes
10.1103/PhysRevB.96.245119,2200,hybrid,Physical Review B
10.1038/s41467-017-00486-8,5200,hybrid,Nature Communications
10.1016/j.foodpol.2016.12.001,1500,hybrid,Food Policy
10.1103/PhysRevLett.119.261802,3300,hybrid,Physical Review Letters
10.1038/srep46349,1790,hybrid,Scientific Reports
10.1016/j.ecoleng.2017.07.012,2600,hybrid,Ecological Engineering
10.3390/polym9020070,1500,hybrid,Polymers
10.1038/srep44038,1790,hybrid,Scientific Reports
10.1038/s41598-017-16222-7,1790,hybrid,Scientific Reports
10.1016/j.surfcoat.2016.11.014,2800,hybrid,Surface & Coatings Technology
10.1103/PhysRevA.95.042332,2200,hybrid,Physical Review A
10.1038/s41598-017-01509-6,1790,hybrid,Scientific Reports
10.1038/s41534-017-0045-z,3490,hybrid,npj Quantum Information
10.1038/s41467-017-01949-8,5200,hybrid,Nature Communications
10.1103/PhysRevLett.118.020401,3300,hybrid,Physical Review Letters
10.1038/ncomms15149,5200,hybrid,Nature Communications
10.1103/PhysRevB.95.235140,2200,hybrid,Physical Review B
10.1038/s41598-017-09049-9,1790,hybrid,Scientific Reports
10.1038/s41598-017-11714-y,1790,hybrid,Scientific Reports
10.3390/nano7010009,1600,hybrid,Nanomaterials
10.1016/j.ecolecon.2017.04.028,3700,hybrid,Ecological Economics
10.3390/en10081089,1800,hybrid,Energies
10.1016/j.jconhyd.2017.08.011,2500,hybrid,Journal of Contaminant Hydrology
10.1103/PhysRevA.96.023819,2200,hybrid,Physical Review A
10.3390/en10070868,1800,hybrid,Energies
10.1103/PhysRevE.95.043105,2200,hybrid,Physical Review E
10.1103/PhysRevA.95.043637,2200,hybrid,Physical Review A
10.1038/s41598-017-08279-1,1790,hybrid,Scientific Reports
10.3390/ma10040346,1800,hybrid,Materials
10.3390/nu9020100,2000,hybrid,Nutrients
10.1103/PhysRevD.96.016012,2200,hybrid,Physical Review D
10.1016/j.gsf.2017.05.002,0,gold,Geoscience Frontiers
10.1103/PhysRevB.96.035136,2200,hybrid,Physical Review B
10.3390/cancers9060063,1800,hybrid,Cancers
10.1038/s41598-017-05184-5,1790,hybrid,Scientific Reports
10.1038/ncomms15380,5200,hybrid,Nature Communications
10.3390/s17061215,1800,hybrid,Sensors
10.1038/sdata.2017.101,1690,hybrid,Scientific Data
10.1103/PhysRevLett.119.043601,3300,hybrid,Physical Review Letters
10.3390/s17030583,1800,hybrid,Sensors
10.3390/mi8070204,1400,hybrid,Micromachines
10.3390/ijerph14070781,1800,hybrid,International Journal of Environmental Research and Public Health
10.1038/ncomms15716,5200,hybrid,Nature Communications
10.1016/j.jglr.2017.07.005,2500,hybrid,Journal of Great Lakes Research
10.3390/nano7100296,1600,hybrid,Nanomaterials
10.1103/PhysRevA.96.012311,2200,hybrid,Physical Review A
10.1038/s41598-017-17974-y,1790,hybrid,Scientific Reports
10.1016/j.gr.2017.02.011,3300,hybrid,Gondwana Research
10.3390/rs9101057,1800,hybrid,Remote Sensing
10.1038/s41598-017-05180-9,1790,hybrid,Scientific Reports
10.1016/j.strusafe.2017.03.002,2500,hybrid,Structural Safety
10.3390/pharmaceutics9040047,1000,hybrid,Pharmaceutics
10.3390/pr5010009,1100,hybrid,Processes
10.1038/eye.2017.74,3760,bronze,Eye
10.1038/s41598-017-10421-y,1790,hybrid,Scientific Reports
10.1038/srep40150,1790,hybrid,Scientific Reports
10.1038/s41598-017-02740-x,1790,hybrid,Scientific Reports
10.1016/j.jma.2017.09.002,0,gold,Journal of Magnesium and Alloys
10.1038/s41598-017-05743-w,1790,hybrid,Scientific Reports
10.1038/srep42542,1790,hybrid,Scientific Reports
10.1016/j.robot.2016.10.016,3300,hybrid,Robotics and Autonomous Systems
10.1103/PhysRevLett.118.077202,3300,hybrid,Physical Review Letters
10.1016/j.physletb.2017.04.076,0,gold,Physics Letters B
10.1038/s41598-017-07180-1,1790,hybrid,Scientific Reports
10.3390/s17030500,1800,hybrid,Sensors
10.3390/su9020287,1700,hybrid,Sustainability
10.3390/pharmaceutics9040045,1000,hybrid,Pharmaceutics
10.1038/s41431-017-0020-3,3000,bronze,European Journal of Human Genetics
10.1103/PhysRevLett.119.031301,3300,hybrid,Physical Review Letters
10.3390/nu9020133,2000,hybrid,Nutrients
10.1038/s41467-017-00599-0,5200,hybrid,Nature Communications
10.3390/en10111844,1800,hybrid,Energies
10.3390/f8030075,1800,hybrid,Forests
10.3390/en10101650,1800,hybrid,Energies
10.1038/s41598-017-13301-7,1790,hybrid,Scientific Reports
10.3390/s17061321,1800,hybrid,Sensors
10.1038/s41598-017-13217-2,1790,hybrid,Scientific Reports
10.3390/s17051121,1800,hybrid,Sensors
10.1103/PhysRevB.95.100402,2200,hybrid,Physical Review B
10.3390/rs9050408,1800,hybrid,Remote Sensing
10.3390/ma10080892,1800,hybrid,Materials
10.1038/s41598-017-08954-3,1790,hybrid,Scientific Reports
10.1016/j.jmbbm.2017.06.029,3000,hybrid,Journal of the Mechanical Behavior of Biomedical Materials
10.3390/environments4030057,300,hybrid,Environments
10.3390/environments4030066,300,hybrid,Environments
10.3390/environments4040083,300,hybrid,Environments
10.1038/srep42726,1790,hybrid,Scientific Reports
10.1038/srep45738,1790,hybrid,Scientific Reports
10.1038/s41598-017-17453-4,1790,hybrid,Scientific Reports
10.1103/PhysRevLett.119.040403,3300,hybrid,Physical Review Letters
10.1016/j.firesaf.2017.03.081,2500,hybrid,Fire Safety Journal
10.1016/j.jmva.2017.07.008,2000,hybrid,Journal of Multivariate Analysis
10.1103/PhysRevA.95.013840,2200,hybrid,Physical Review A
10.3390/en10101578,1800,hybrid,Energies
10.1103/PhysRevD.95.084049,2200,hybrid,Physical Review D
10.1016/j.physletb.2017.04.044,0,gold,Physics Letters B
10.1103/PhysRevD.95.123505,2200,hybrid,Physical Review D
10.3390/su9091610,1700,hybrid,Sustainability
10.3390/mi8110326,1400,hybrid,Micromachines
10.3390/info8040141,1000,hybrid,Information
10.3390/en10020179,1800,hybrid,Energies
10.1038/s41598-017-00950-x,1790,hybrid,Scientific Reports
10.1038/s41598-017-16494-z,1790,hybrid,Scientific Reports
10.3390/s17040877,1800,hybrid,Sensors
10.3390/w9120942,1600,hybrid,Water
10.3390/a10020040,1000,hybrid,Algorithms
10.1103/PhysRevB.96.174434,2200,hybrid,Physical Review B
10.1038/s41598-017-15784-w,1790,hybrid,Scientific Reports
10.3390/polym9020048,1500,hybrid,Polymers
10.1038/srep46708,1790,hybrid,Scientific Reports
10.1038/s41598-017-17236-x,1790,hybrid,Scientific Reports
10.3390/en10111741,1800,hybrid,Energies
10.1038/sc.2017.65,3760,bronze,Spinal Cord
10.1038/s41598-017-09534-1,1790,hybrid,Scientific Reports
10.1103/PhysRevLett.119.050502,3300,hybrid,Physical Review Letters
10.1016/j.jelekin.2017.07.001,3000,hybrid,Journal of Electromyography and Kinesiology
10.1038/s41598-017-18180-6,1790,hybrid,Scientific Reports
10.3390/jfb8030035,850,hybrid,Journal of Functional Biomaterials
10.1038/s41534-017-0007-5,3490,hybrid,npj Quantum Information
10.1038/s41598-017-04057-1,1790,hybrid,Scientific Reports
10.1016/j.physletb.2016.12.042,0,gold,Physics Letters B
10.1038/s41598-017-05375-0,1790,hybrid,Scientific Reports
10.3390/pr5020031,1100,hybrid,Processes
10.3390/su9122294,1700,hybrid,Sustainability
10.3390/ijerph14101182,1800,hybrid,International Journal of Environmental Research and Public Health
10.1016/j.apmr.2017.02.032,3300,hybrid,Archives of Physical Medicine and Rehabilitation
10.1038/s41598-017-14859-y,1790,hybrid,Scientific Reports
10.3390/en10060767,1800,hybrid,Energies
10.3390/rs9070732,1800,hybrid,Remote Sensing
10.3390/genes8010003,1800,hybrid,Genes
10.3390/polym9010026,1500,hybrid,Polymers
10.1038/s41598-017-14948-y,1790,hybrid,Scientific Reports
10.1103/PhysRevB.96.035117,2200,hybrid,Physical Review B
10.3390/polym9100540,1500,hybrid,Polymers
10.3390/ijerph14080868,1800,hybrid,International Journal of Environmental Research and Public Health
10.3390/w9100750,1600,hybrid,Water
10.3390/e19090495,1600,hybrid,Entropy
10.3390/polym9120725,1500,hybrid,Polymers
10.3390/rs9121242,1800,hybrid,Remote Sensing
10.3390/su9122326,1700,hybrid,Sustainability
10.3390/s17122955,1800,hybrid,Sensors
10.3390/coatings7050058,1600,hybrid,Coatings
10.1103/PhysRevA.95.042319,2200,hybrid,Physical Review A
10.1038/s41598-017-16933-x,1790,hybrid,Scientific Reports
10.3390/polym9110637,1500,hybrid,Polymers
10.1108/JTF-09-2017-063,0,bronze,Journal of Tourism Futures
10.3390/rs9101041,1800,hybrid,Remote Sensing
10.3390/w9110872,1600,hybrid,Water
10.3390/rs9121327,1800,hybrid,Remote Sensing
10.1038/s41598-017-07625-7,1790,hybrid,Scientific Reports
10.3390/e19100524,1600,hybrid,Entropy
10.3390/s17010191,1800,hybrid,Sensors
10.1038/s41598-017-07202-y,1790,hybrid,Scientific Reports
10.1016/j.biocon.2016.10.006,3400,hybrid,Biological Conservation
10.1016/j.foodpol.2016.12.001,1500,hybrid,Food Policy
10.1103/PhysRevLett.119.261802,3300,hybrid,Physical Review Letters
10.1016/j.ecoleng.2017.07.012,2600,hybrid,Ecological Engineering
10.1016/j.surfcoat.2016.11.014,2800,hybrid,Surface & Coatings Technology
10.1016/j.ecolecon.2017.04.028,3700,hybrid,Ecological Economics
10.1016/j.jconhyd.2017.08.011,2500,hybrid,Journal of Contaminant Hydrology
10.1016/j.jglr.2017.07.005,2500,hybrid,Journal of Great Lakes Research
10.1016/j.gr.2017.02.011,3300,hybrid,Gondwana Research
10.1016/j.strusafe.2017.03.002,2500,hybrid,Structural Safety
10.1016/j.robot.2016.10.016,3300,hybrid,Robotics and Autonomous Systems
10.1016/j.jmbbm.2017.06.029,3000,hybrid,Journal of the Mechanical Behavior of Biomedical Materials
10.1016/j.firesaf.2017.03.081,2500,hybrid,Fire Safety Journal
10.1016/j.jmva.2017.07.008,2000,hybrid,Journal of Multivariate Analysis
10.1016/j.jelekin.2017.07.001,3000,hybrid,Journal of Electromyography and Kinesiology
10.1016/j.apmr.2017.02.032,3300,hybrid,Archives of Physical Medicine and Rehabilitation
